pid,image,session_id,parent_id,command_line,start_s,end_s,duration_s,first_io_s,first_image_s
11480,expand.exe,0,7048,"""C:\Windows\System32\expand.exe"" ""C:\WINDOWS\TEMP\MaxxAudio_Data.cab"" ""-F:DeployTable.ini"" ""C:\WINDOWS\TEMP""",37.1508152,60.203578099999994,23.052762899999998,60.1875593,
11288,ipconfig.exe,0,10616,"""C:\WINDOWS\Sysnative\ipconfig.exe"" /flushdns",37.6114105,45.0940764,7.482665900000001,,
12076,SenseNdr.exe,0,7028,"""C:\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe"" -",37.84071839999999,44.47183149999999,6.6311131,42.98010909999999,
11992,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s TokenBroker,37.914831899999996,163.5088821,125.5940502,43.14096609999999,
11208,ZSATrayManager.exe,0,1264,"""C:\Program Files (x86)\Zscaler\ZSATrayManager\ZSATrayManager.exe""",38.075587999999996,163.5105743,125.4349863,43.1558697,
8792,taskhostw.exe,0,2604,taskhostw.exe DeviceUpdate,38.4476039,100.504831,62.0572271,60.4140829,
11956,svchost.exe,1,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc,41.355078299999995,163.5120273,122.156949,44.666050899999995,
10524,conhost.exe,0,11476,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,41.611342699999994,45.340012599999994,3.7286699,,
3148,conhost.exe,0,11480,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,42.3045255,60.231050399999994,17.926524899999997,,
2540,PresentationFontCache.exe,0,1264,C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe,42.3489909,163.5129244,121.16393350000001,44.86812259999999,
3528,conhost.exe,0,11288,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,42.6765128,45.1163082,2.4397954000000013,,
11964,userinit.exe,1,1196,C:\WINDOWS\system32\userinit.exe,42.723996199999995,163.5129314,120.78893520000003,44.997789399999995,
2072,PresentMonService.exe,0,11800,"""PresentMonService.exe"" --control-pipe \\.\pipe\pm2_igs --nsm-prefix Global\NamedSharedMem_igs --etw-session-name pm2_igs --intro-nsm Global\pm2_bip_shm_igs ",42.88173869999999,163.514621,120.6328823,44.96777959999999,
6800,SenseCE.exe,0,7028,"""C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe"" ""2976"" ""4060"" ""CE_{27D1F5DC-8553-42C9-BF45-A44C43DAE78F}"" ""14400"" ""60""",43.53593729999999,163.5151644,119.9792271,45.998447399999996,
3812,WmiApSrv.exe,0,1264,C:\WINDOWS\system32\wbem\WmiApSrv.exe,43.906447699999994,163.51559070000002,119.60914300000002,45.554994099999995,
3656,svchost.exe,1,1264,C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService,44.6717489,163.5168093,118.84506040000001,45.8702249,
3340,conhost.exe,0,2072,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,44.976931099999995,163.5171167,118.5401856,,
11988,explorer.exe,1,11964,C:\WINDOWS\Explorer.EXE,45.036957599999994,163.52409070000002,118.48713310000002,46.4258184,
8152,ShellHost.exe,1,12216,"""C:\Windows\System32\ShellHost.exe""",45.3631112,163.5253042,118.162193,46.0748524,
11472,igfxEMN.exe,1,3728,"""C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_98abc5cbb5403498\igfxEMN.exe""",45.3934484,163.5262458,118.1327974,46.208552499999996,
12376,SenseNdr.exe,0,7028,"""C:\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe"" -",45.79261339999999,59.545109,13.752495600000003,57.79509279999999,
12412,taskhostw.exe,1,2604,taskhostw.exe USER,45.915166299999996,84.58564879999999,38.67048249999999,49.4265262,
12456,SensorLogonTask.exe,0,2604,"""C:\Program Files (x86)\Microsoft Intune Management Extension\SensorLogonTask.exe"" SensorFramework-LogonTask-{100ee514-48c8-f419-6760-6fb8cb2767cd}",45.94947019999999,134.3404433,88.39097310000001,80.41783989999999,
12472,SensorLogonTask.exe,0,2604,"""C:\WINDOWS\CCM\SensorLogonTask.exe"" SensorFramework-LogonTask-{3ba7a2e9-d1d6-3a30-b91a-41f80a8d171d}",45.986626699999995,134.0762175,88.08959080000002,82.5628426,
12480,DeviceEnroller.exe,1,2604,"""C:\WINDOWS\system32\deviceenroller.exe"" /o ""906E1477-50EA-43FA-80C5-F8B2A9B683A1"" /c /lf",45.98807599999999,135.2813792,89.29330320000001,,
12488,MicrosoftEdgeUpdate.exe,0,2604,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /c",45.9921801,163.5270767,117.53489660000001,60.9313673,
12648,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo,46.6022008,163.52795840000002,116.92575760000003,50.12251439999999,
12852,DeviceEnroller.exe,1,2604,"""C:\WINDOWS\system32\deviceenroller.exe"" /o ""1CB9CACB-E0DB-406F-A832-2C2FA984AF46"" /c /lf",47.8362663,122.2524742,74.41620789999999,122.0186208,
12896,vdsldr.exe,0,1456,C:\WINDOWS\System32\vdsldr.exe -Embedding,48.1910257,65.24702099999999,17.055995299999992,50.0909036,
12928,svchost.exe,1,1264,C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc,48.272317699999995,163.5296128,115.2572951,50.508701099999996,
12952,DeviceEnroller.exe,0,2604,"""C:\WINDOWS\system32\deviceenroller.exe"" /o ""1CB9CACB-E0DB-406F-A832-2C2FA984AF46"" /c /PolicyManagerRefreshOnLogin",48.48442849999999,110.5780841,62.093655600000005,60.75284789999999,
13028,taskhostw.exe,1,2604,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},48.78330209999999,163.5304989,114.74719680000001,50.540434899999994,
13044,ipconfig.exe,0,10616,"""C:\WINDOWS\Sysnative\ipconfig.exe"" /flushdns",48.944935599999994,51.14982919999999,2.2048935999999983,,
13120,ZSAHelper.exe,0,11208,"""C:\Program Files (x86)\Zscaler\ZSAHelper\ZSAHelper.exe"" --stopZsawdrvDriver",49.2857959,50.70776599999999,1.4219700999999958,50.31287449999999,
13148,ZSATray.exe,1,11208,ZSATray.exe,49.5295473,163.5334297,114.00388240000001,50.7016516,
13216,conhost.exe,0,13044,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,50.15405809999999,51.2178682,1.0638101000000049,,
13280,taskhostw.exe,1,2604,taskhostw.exe,50.2326766,56.621638499999996,6.388961899999998,56.4657023,
13292,vds.exe,0,1264,C:\WINDOWS\System32\vds.exe,50.274797099999994,163.5344079,113.25961079999999,56.345758499999995,
5904,CrossDeviceResume.exe,1,12216,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp",50.474315,60.30183699999999,9.827521999999995,56.701709799999996,
7576,sc.exe,0,7128,"""sc"" stop ZSAZdp",51.390065899999996,57.649341899999996,6.259276,,
6132,dllhost.exe,1,1456,C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},51.9343691,74.1776549,22.243285799999995,55.865652,
13084,SearchHost.exe,1,1456,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca",52.015665,97.6062465,45.5905815,57.078385899999994,
7668,StartMenuExperienceHost.exe,1,1456,"""C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca",52.0165015,163.537518,111.5210165,56.03803739999999,
13496,ipconfig.exe,0,10616,"""C:\WINDOWS\Sysnative\ipconfig.exe"" /flushdns",55.309816899999994,57.6710162,2.3611993000000027,56.69640029999999,
13512,SenseCE.exe,0,7028,"""C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe"" ""3992"" ""3060"" ""PE_{4E1B3012-46B3-40C4-9A5F-D0ED684EBC11}"" ""14400"" ""60""",55.613765599999994,163.5382603,107.9244947,57.08551009999999,
13592,conhost.exe,0,7576,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,55.8767388,57.692673299999996,1.8159344999999973,57.2232947,
13668,FileCoAuth.exe,1,1456,"""C:\Users\zomhecke\AppData\Local\Microsoft\OneDrive\25.087.0506.0001\FileCoAuth.exe"" -Embedding",56.064409399999995,57.3681875,1.3037781000000024,57.318254499999995,
13816,conhost.exe,0,13496,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,56.721307499999995,80.91625579999999,24.194948299999993,,
13936,FileCoAuth.exe,1,1456,"""C:\Users\zomhecke\AppData\Local\Microsoft\OneDrive\25.087.0506.0001\FileCoAuth.exe"" -Embedding",57.381236699999995,75.1774397,17.796203,64.5656492,
14012,RuntimeBroker.exe,1,1456,C:\Windows\System32\RuntimeBroker.exe -Embedding,57.66404659999999,163.5400258,105.8759792,57.9886984,
14028,svchost.exe,1,1264,C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc,57.72971819999999,163.5412485,105.8115303,57.8673867,
2260,ClipRenew.exe,1,2604,"""C:\WINDOWS\system32\ClipRenew.exe""",59.3477257,83.48693879999999,24.139213099999992,64.7512859,
13748,backgroundTaskHost.exe,1,1456,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:SettingsUXHostApp.AppXbcemfss8fnwzwnsjec8qzh0c3jnkn6x0.mca",59.6749095,163.5421667,103.8672572,69.980295,
10492,backgroundTaskHost.exe,1,1456,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXe9cvj1thv1hmcw0cs98xm3r97tyzy2xs.mca",59.686807099999996,163.5435185,103.85671140000001,69.45609789999999,
14388,conhost.exe,0,12472,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,60.50785739999999,134.09291290000002,73.58505550000002,,
14400,conhost.exe,0,12456,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,60.5135106,134.3571884,73.84367780000002,,
14684,ipconfig.exe,0,10616,"""C:\WINDOWS\Sysnative\ipconfig.exe"" /flushdns",63.59783209999999,64.2690853,0.6712532000000095,,
14696,conhost.exe,0,14684,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,63.629913099999996,64.2726146,0.6427015000000011,,
14816,netsh.exe,0,10616,"""C:\WINDOWS\system32\netsh.exe"" interface ipv6 show prefixpolicies",64.40013359999999,65.74532959999999,1.3451960000000014,64.4864851,
14856,conhost.exe,0,14816,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,64.55382929999999,65.80906739999999,1.2552380999999997,64.7319136,
14960,MpCmdRun.exe,0,7140,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe"" -RegisterWmiSchema -Root ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0""",64.903027,67.0843012,2.1812742000000043,65.25578499999999,
